Smiles	p_value_original	p_value_trained	active_entry_original	inactive_entry_original	active_entry_trained	inactive_entry_trained	category	accuracy
O=C1C=NC(=C)C(=NC)N1CC=2C=CC=C(O)C=2	0,00106	0E0	11.0	0.0	0.0	0.0	2	0.0
null	0E0	0,00013	0.0	0.0	26.0	4.0	0	0.7999999999999996
OC1CCC(C)(C)C2CCC(C)(C)C(CC)C12	0,02386	0,02319	6.0	0.0	6.0	0.0	7	0.9083333333333333
O=C(O)C(O)C(O)C	0,00647	0,00054	11.0	1.0	12.0	0.0	7	0.9058333333333332
OC=1C=CC=2NC=C(C=2(C=1))CC	4,8E-13	0E0	69.0	6.0	0.0	0.0	2	0.0
C=C(C(=CN)CCN)C	0,0128	0,01238	7.0	0.0	7.0	0.0	0	0.822857142857143
null	0E0	0,00101	0.0	0.0	11.0	0.0	0	0.9245454545454543
null	0E0	0,00661	0.0	0.0	8.0	0.0	0	0.8537500000000001
OC(C)C(C=C)C	0,00215	0,00015	13.0	1.0	14.0	0.0	7	0.8314285714285715
N1=CC=CC(=C1)CN	2,0E-11	1,3E-10	59.0	5.0	58.0	6.0	0	0.9420312500000005
O=C(N1CCCC(C)(C)C1)C	0,01114	0,01067	10.0	1.0	10.0	1.0	7	0.8172727272727275
O=C1C=C(C(=O)C2=C(O)C(=CC(O)=C12)C)C	0,00198	0,00189	10.0	0.0	10.0	0.0	7	0.784
null	0E0	0,00002	0.0	0.0	41.0	9.0	0	0.8058000000000001
O(C1=CC=CC(N)=C1)C	1,48E-9	1,0E-11	51.0	5.0	53.0	3.0	0	0.8741071428571431
N=C1NC=NC=C1(N)	2,07E-7	1,82E-7	29.0	1.0	29.0	1.0	7	0.9153333333333334
null	0E0	0,00012	0.0	0.0	35.0	8.0	0	0.7788372093023256
O=C(C)CC(C)(C)C	0,00004	0,00861	20.0	1.0	17.0	4.0	7	0.8547619047619047
O=C1C=CC(C)(C)CC1	5,24E-8	2,76E-9	35.0	2.0	36.0	1.0	7	0.8927027027027027
C(=CC(C)C)C	7,11E-8	5,85E-8	49.0	7.0	49.0	7.0	7	0.808392857142857
OC(=NCC)C	4,48E-6	9,82E-9	38.0	6.0	41.0	3.0	0	0.8775000000000002
OC(C(C=C)=CC)(C)C	2,76E-8	8,2E-13	56.0	9.0	61.0	4.0	7	0.7896923076923077
N#CCCN(C(=O)C)C(=N)C	2,1E-17	8,7E-32	103.0	11.0	114.0	0.0	0	0.9026315789473685
OC(C)(C)C(N(C)C)CC	0,00217	0,00034	18.0	3.0	19.0	2.0	7	0.809047619047619
O=C(O)C(C)C(C)C	0,0345	0E0	10.0	2.0	0.0	0.0	2	0.0
O=C2N=C(O)C=1N=C(NC=1N2C)C	0,00492	0E0	14.0	2.0	0.0	0.0	5	0.0
N=C(N)C=C(N)C	2,8E-32	1,8E-39	155.0	8.0	160.0	3.0	0	0.9399999999999992
null	0E0	0,01067	0.0	0.0	10.0	1.0	0	0.7399999999999999
