Smiles	p_value_original	p_value_trained	active_entry_original	inactive_entry_original	active_entry_trained	inactive_entry_trained	category
O=C(C(=CC)N(C)C)N1CCC2(CC1)(CCN(C(=C)C)CC2)	0,02386	0E0	6.0	0.0	0.0	0.0	2
C1=CC=C(C=C1)C(NC)C(C)C	0,00014	0E0	35.0	8.0	0.0	0.0	2
O=C(OC)C1CC1(C(NS)C(=C)C)	0,02386	0E0	6.0	0.0	0.0	0.0	2
OC(C=C)=CC	0,00198	0E0	10.0	0.0	0.0	0.0	2
N=1C=CN(C=1)C	4,7E-13	0E0	55.0	2.0	0.0	0.0	2
C1=CC=C2C(=C1)C(=C(C)C2)C	0,00647	0E0	11.0	1.0	0.0	0.0	2
OC(=CC(=C)Cl)C	2,9E-10	0E0	44.0	2.0	0.0	0.0	2
C=CC1=C(C=CC=C1Cl)C	0,0128	0E0	7.0	0.0	0.0	0.0	2
OC=1C=CC(=CC=1(O))CC(N)C	0,00368	0E0	9.0	0.0	0.0	0.0	5
OC=1C=C(C=C(OC)C=1(OC))C	0,0345	0E0	10.0	2.0	0.0	0.0	5
N(C(=C)C)=C(S)S	0,00215	0E0	13.0	1.0	0.0	0.0	2
O=C(CC)C(O)C	0,02386	0E0	6.0	0.0	0.0	0.0	5
O=C(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)N2CCCC3(C2)(CN(CC)CC3)	0,00001	0E0	18.0	0.0	0.0	0.0	2
O=C(O)C(=C(N)C)C(N)C	0,0128	0E0	7.0	0.0	0.0	0.0	2
C=C(C=1C=CC=C(C=1)N(C)C)C	0,00002	0E0	42.0	9.0	0.0	0.0	2
OC=2C=CC1=CC=CC=C1C=2CN	0,0128	0E0	7.0	0.0	0.0	0.0	2
C#CCCC	0,01114	0E0	10.0	1.0	0.0	0.0	2
NC1CCNCC1	0,00063	0E0	18.0	2.0	0.0	0.0	2
OC=1C=CC(=CC=1(OC(=C)C))CC(N)C	0,02386	0E0	6.0	0.0	0.0	0.0	5
CC1C(C)C1(C)(C)	0,02386	0E0	6.0	0.0	0.0	0.0	2
N=C(C(=C(C)[Si])CN)C	0,01905	0E0	9.0	1.0	0.0	0.0	2
O=S(=O)(O)C1=CC=CC(=C1)C	0,00687	0E0	8.0	0.0	0.0	0.0	5
N1CCN(C)CC1	3,6E-38	0E0	245.0	28.0	0.0	0.0	2
C1=CC=C(C=C1)NS	5,2E-21	0E0	75.0	0.0	0.0	0.0	2
OC(C)C(OC)C(O)(C)C	0,00373	0E0	12.0	1.0	0.0	0.0	5
O=C(OC)C1CC1(C)	0,00164	0E0	23.0	5.0	0.0	0.0	2
O(C1=CC=CC=C1CC)C	0,00215	0E0	13.0	1.0	0.0	0.0	2
N1=CC=CC(=C1)NC	0,02386	0E0	6.0	0.0	0.0	0.0	2
O=C(C(OC)=C(O)C)C	0,02386	0E0	6.0	0.0	0.0	0.0	2
OC1=CC=CC(=C1)C(C=C)=CC	7,28E-6	0E0	19.0	0.0	0.0	0.0	2
N=C(O)N1CC2(C1)(CCN(C)CC2)	0,00006	0E0	37.0	8.0	0.0	0.0	5
N=C(N)N1CCNCC1	4,2E-38	0E0	170.0	6.0	0.0	0.0	2
